,Title,Genre,Director,Actors,Plot,id,release year
144,Stop! Or My Mom Will Shoot,"Action,Comedy",Roger Spottiswoode,"Sylvester Stallone,Estelle Getty,JoBeth Williams,Roger Rees","A tough cop's (Sylvester Stallone) seemingly frail mother (Estelle Getty) comes to stay with him and progressively interferes in his life. She buys him an illegal MAC-10 machine pistol and starts poking around in his police cases. Eventually, the film draws to a denouement involving the title of the film and the revelation that even though she seems frail and weak she is capable of strong actions in some circumstances, i.e. when her son is threatened by thugs and she shoots herself in the shoulder.",9876,1992-02-21
145,Twin Peaks: Fire Walk with Me,"Drama,Mystery",David Lynch,"Sheryl Lee,Ray Wise,Mädchen Amick,Dana Ashbrook","In the questionable town of Deer Meadow, Washington, FBI Agent Desmond inexplicably disappears while hunting for the man who murdered a teen girl. The killer is never apprehended, and, after experiencing dark visions and supernatural encounters, Agent Dale Cooper chillingly predicts that the culprit will claim another life. Meanwhile, in the more cozy town of Twin Peaks, hedonistic beauty Laura Palmer hangs with lowlifes and seems destined for a grisly fate.",1923,1992-06-03
146,Dragon Ball Z: The Return of Cooler,"Action,Animation",Daisuke Nishio,"Masako Nozawa,Ryou Horikawa,Ryusei Nakao,Tomiko Suzuki",Cooler has resurrected himself as a robot and is enslaving the people of New Namek. Goku and the gang must help.,39103,1992-03-07
147,My Cousin Vinny,"Comedy,Drama",Jonathan Lynn,"Joe Pesci,Ralph Macchio,Marisa Tomei,Mitchell Whitfield","Two carefree pals traveling through Alabama are mistakenly arrested, and charged with murder. Fortunately, one of them has a cousin who's a lawyer - Vincent Gambini, a former auto mechanic from Brooklyn who just passed his bar exam after his sixth try. When he arrives with his leather-clad girlfriend , to try his first case, it's a real shock - for him and the Deep South!",10377,1992-03-13
148,Police Story 3: Super Cop,"Action,Crime,Thriller",Stanley Tong,"Jackie Chan,Michelle Yeoh,Maggie Cheung,Kenneth Tsang",A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,11134,1992-07-04
149,Lethal Weapon 3,"Adventure,Action,Comedy,Thriller,Crime",Richard Donner,"Mel Gibson,Danny Glover,Joe Pesci,Rene Russo","Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",943,1992-05-15
150,Wayne's World,"Music,Comedy",Penelope Spheeris,"Mike Myers,Dana Carvey,Rob Lowe,Tia Carrere","When a sleazy TV exec offers Wayne and Garth a fat contract to tape their late-night public access show at his network, they can't believe their good fortune. But they soon discover the road from basement to big-time is a gnarly one, fraught with danger, temptation and ragin' party opportunities.",8872,1992-02-14
151,The Bodyguard,"Thriller,Action,Drama,Music,Romance",Mick Jackson,"Whitney Houston,Kevin Costner,Gary Kemp,Bill Cobbs","A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.",619,1992-11-25
152,Romper Stomper,"Action,Drama,Thriller",Geoffrey Wright,"Russell Crowe,Daniel Pollock,Jacqueline McKenzie,Alex Scott","Nazi skinheads in Melbourne take out their anger on local Vietnamese, who are seen as threatening racial purity. Finally the Vietnamese have had enough and confront the skinheads in an all-out confrontation, sending the skinheads running. A woman who is prone to epileptic seizures joins the skins' merry band, and helps them on their run from justice, but is her affliction also a sign of impurity?",10412,1992-03-05
153,Once Upon a Time in China II,"Action,Comedy",Tsui Hark,"Jet Li,Rosamund Kwan,Max Mok Siu-Chung,Donnie Yen","In the sequel to the Tsui Hark classic, Wong Fei-Hung faces The White Lotus society, a fanatical cult seeking to drive the Europeans out of China through violence, even attacking Chinese who follow Western ways. Wong must also defend Dr. Sun Yat Sen, a revolutionary, from the military.",10618,1992-08-15
154,Chaplin,Drama,Richard Attenborough,"Robert Downey Jr.,Geraldine Chaplin,Paul Rhys,John Thaw","An elderly Charlie Chaplin discusses his autobiography with his editor, while is depicted his amazing journey from his poverty-stricken childhood to world-wide success after the ingenious invention of the Little Tramp.",10435,1992-02-17
155,The Crying Game,"Romance,Crime,Drama,Thriller",Neil Jordan,"Stephen Rea,Jaye Davidson,Miranda Richardson,Forest Whitaker","Irish Republican Army member Fergus forms an unexpected bond with Jody, a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude and Maguire. Jody makes Fergus promise he'll visit his girlfriend, Dil, in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.",11386,1992-09-02
156,Bad Lieutenant,"Crime,Drama",Abel Ferrara,"Harvey Keitel,Victor Argo,Frankie Thorn,Robin Burrows","While investigating a young nun's rape, a corrupt New York City police detective, with a serious drug and gambling addiction, tries to change his ways and find forgiveness.",12143,1992-09-16
157,Malcolm X,"Drama,History",Spike Lee,"Denzel Washington,Angela Bassett,Albert Hall,Al Freeman, Jr.","A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride.",1883,1992-11-18
158,Scent of a Woman,Drama,Martin Brest,"Al Pacino,Chris O'Donnell,James Rebhorn,Gabrielle Anwar","Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.",9475,1992-12-23
159,Far and Away,"Adventure,Drama,Romance,Western",Ron Howard,"Tom Cruise,Nicole Kidman,Thomas Gibson,Robert Prosky","A young man leaves Ireland with his landlord's daughter after some trouble with her father, and they dream of owning land at the big giveaway in Oklahoma ca. 1893. When they get to the new land, they find jobs and begin saving money. The man becomes a local barehands boxer, and rides in glory until he is beaten, then his employers steal all the couple's money and they must fight off starvation in the winter, and try to keep their dream of owning land alive. Meanwhile, the woman's parents find out where she has gone and have come to America to find her and take her back.",11259,1992-05-22
160,Braindead,"Horror,Comedy",Peter Jackson,"Timothy Balme,Diana Peñalver,Elizabeth Moody,Ian Watkin","When a Sumatran rat-monkey bites Lionel Cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while Lionel races to keep things under control.",763,1992-08-13
161,The Lover,"Drama,Romance",Jean-Jacques Annaud,"Jane March,Tony Leung Ka-Fai,Frédérique Meininger,Arnaud Giovaninetti","A poor French teenage girl engages in an illicit affair with a wealthy Chinese heir in 1920s Saigon. For the first time in her young life she has control, and she wields it deftly over her besotted lover throughout a series of clandestine meetings and torrid encounters.",10995,1992-02-22
162,Universal Soldier,"Thriller,Action,Science Fiction,Crime",Roland Emmerich,"Jean-Claude Van Damme,Dolph Lundgren,Ally Walker,Ed O'Ross","An American soldier who had been killed during the Vietnam War is revived 25 years later by the military as a semi-android, UniSols, a high-tech soldier of the future. After the failure of the initiative to erase all the soldier's memories, he begins to experience flashbacks that are forcing him to recall his past.",9349,1992-07-10
163,Forever Young,"Adventure,Fantasy,Drama,Science Fiction,Romance",Steve Miner,"Mel Gibson,Jamie Lee Curtis,Elijah Wood,Isabel Glasser",A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel McCormick wants to be frozen for a year so that he doesn't have to watch his love lying in a coma. The next thing Daniel knows is that he's been awoken in 1992.,10326,1992-12-16
164,Death Becomes Her,"Comedy,Fantasy",Robert Zemeckis,"Meryl Streep,Bruce Willis,Goldie Hawn,Isabella Rossellini","Madeline is married to Ernest, who was once arch-rival Helen's fiance. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot.",9374,1992-07-30
165,El Mariachi,"Action,Crime,Thriller",Robert Rodriguez,"Carlos Gallardo,Jaime de Hoyos,Peter Marquardt,Reinol Martinez","El Mariachi just wants to play his guitar and carry on the family tradition. Unfortunately, the town he tries to find work in has another visitor...a killer who carries his guns in a guitar case. The drug lord and his henchmen mistake El Mariachi for the killer, Azul, and chase him around town trying to kill him and get his guitar case.",9367,1992-09-04
166,Housesitter,"Comedy,Romance",Frank Oz,"Steve Martin,Goldie Hawn,Dana Delany,Suzanne Whang","After building his dream house, architect Newton Davis proposes marriage to his girlfriend, only to be summarily rejected. He seeks solace in a one-night stand with a waitress, never imagining that a woman he slept with once would end up posing as his wife. Gwen's ruse is so effective that by the time Newton learns of his ""marriage,"" the entire town feels like they know him.",10407,1992-06-12
167,The Player,"Comedy,Drama,Crime",Robert Altman,"Tim Robbins,Greta Scacchi,Fred Ward,Whoopi Goldberg",A Hollywood studio executive is being sent death threats by a writer whose script he rejected - but which one?,10403,1992-04-03
168,Sister Act,"Music,Comedy",Emile Ardolino,"Whoopi Goldberg,Maggie Smith,Kathy Najimy,Wendy Makkena","A Reno singer witnesses a mob murder and the cops stash her in a nunnery to protect her from the hitmen. The mother superior does not trust her, and takes steps to limit her influence on the other nuns. Eventually the singer rescues the failing choir and begins helping with community projects, which gets her an interview on TV.",2005,1992-05-28
169,White Men Can't Jump,"Comedy,Drama",Ron Shelton,"Wesley Snipes,Woody Harrelson,Rosie Perez,Tyra Ferrell","Billy Hoyle and Sidney Deane are an unlikely pair of basketball hustlers. They team up to con their way across the courts of Los Angeles, playing a game that's fast dangerous - and funny.",10158,1992-03-26
170,Glengarry Glen Ross,"Crime,Drama,Mystery",James Foley,"Al Pacino,Jack Lemmon,Alec Baldwin,Alan Arkin","Glengarry Glen Ross, follows the lives of four unethical Chicago real estate agents who are prepared to go to any lengths (legal or illegal) to unload undesirable real estate on unwilling prospective buyers.",9504,1992-09-15
171,Sleepwalkers,"Fantasy,Horror,Thriller",Mick Garris,"Brian Krause,Mädchen Amick,Alice Krige,Jim Haynie",A mother-and-son team of strange supernatural creatures come to town to seek out a virgin to feed on.,11428,1992-04-10
172,Candyman,"Drama,Horror,Thriller",Bernard Rose,"Virginia Madsen,Tony Todd,Xander Berkeley,Kasi Lemmons","The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.",9529,1992-09-11
173,Damage,"Drama,Romance",Louis Malle,"Jeremy Irons,Juliette Binoche,Miranda Richardson,Rupert Graves",The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,11012,1992-12-02
174,FernGully: The Last Rainforest,"Fantasy,Animation,Science Fiction,Family,Drama",Bill Kroyer,"Tim Curry,Samantha Mathis,Christian Slater,Robin Williams","When a sprite named Crysta shrinks a human boy, Zak, down to her size, he vows to help the magical fairy folk stop a greedy logging company from destroying their home, the pristine rainforest known as FernGully. Zak and his new friends fight to defend FernGully from lumberjacks -- and the vengeful spirit they accidentally unleash after chopping down a magic tree.",13225,1992-04-10
175,Howards End,"Drama,Romance",James Ivory,"Emma Thompson,Helena Bonham Carter,Anthony Hopkins,Samuel West","A saga of class relations and changing times in an Edwardian England on the brink of modernity, the film centers on liberal Margaret Schlegel, who, along with her sister Helen, becomes involved with two couples: wealthy, conservative industrialist Henry Wilcox and his wife Ruth, and the downwardly mobile working-class Leonard Bast and his mistress Jackie.",8293,1992-03-13
176,Dragon Ball Z: Super Android 13!,"Action,Animation,Science Fiction",Daisuke Nishio,"Masako Nozawa,Ryou Horikawa,Takeshi Kusao,Toshio Furukawa","Dr. Gero's Androids #13, #14, and #15 are awakened by the laboratory computers and immediately head to the mall where Goku is shopping. After Goku, Trunks, and Vegita defeat #14 and #15, #13 absorbs their inner computers and becomes a super being greater than the original three separately were. Now it is up to Goku to stop him.",39104,1992-07-11
177,Jamon Jamon,"Comedy,Drama,Romance",Bigas Luna,"Javier Bardem,Penélope Cruz,Jordi Mollà,Stefania Sandrelli","Jose Luis is an executive at his parents underwear factory where his girlfriend Sylvia works on the shop floor. When Sylvia becomes pregnant, Jose Luis promises her that he will marry her, most likely against the wishes of his parents. Jose Luis' mother is determined to break her son's engagement to a girl from a lower-class family, and hires Raul, a potential underwear model and would-be bullfighter to seduce Sylvia.",4507,1992-09-03
178,1492: Conquest of Paradise,"Action,Adventure,Drama,History",Ridley Scott,"Gérard Depardieu,Armand Assante,Sigourney Weaver,Loren Dean",1492: Conquest of Paradise depicts Christopher Columbus’ discovery of The New World and his effect on the indigenous people.,1492,1992-10-09
179,Schindler's List,"Drama,History,War",Steven Spielberg,"Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,424,1993-12-15
180,What's Eating Gilbert Grape,"Romance,Drama",Lasse Hallström,"Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Mary Steenburgen","Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks into his life.",1587,1993-12-17
181,Hard Target,"Action,Adventure,Crime,Thriller,Drama",John Woo,"Jean-Claude Van Damme,Arnold Vosloo,Lance Henriksen,Yancy Butler","When a woman's father goes missing, she enlist a local to aid in her search.  The pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",2019,1993-08-20
182,Groundhog Day,"Romance,Fantasy,Drama,Comedy",Harold Ramis,"Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky","A narcissistic T.V. weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",137,1993-02-11
183,Cliffhanger,"Action,Adventure,Thriller",Renny Harlin,"Sylvester Stallone,John Lithgow,Michael Rooker,Janine Turner","A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",9350,1993-05-28
184,RoboCop 3,"Action,Adventure,Crime,Science Fiction,Thriller",Fred Dekker,"Robert John Burke,Nancy Allen,Mario Machado,Jodi Long","The mega corporation Omni Consumer Products is still bent on creating their pet project, Delta City, to replace the rotting city of Detroit. Unfortunately, the inhabitants of the area have no intention of abandoning their homes simply for desires of the company. To this end, OCP have decided to force them to leave by employing a ruthless mercenary army to attack and harass them. An underground resistance begins and in this fight, Robocop must decide where his loyalties lie.",5550,1993-04-17
185,Dragon Ball Z: Broly – The Legendary Super Saiyan,"Animation,Adventure,Family,Science Fiction",Shigeyasu Yamauchi,"Masako Nozawa,Bin Shimada,Iemasa Kayumi,Ryou Horikawa","As Goku investigates the destruction of the Southern Galaxy, Vegeta is taken to be King of the New Planet Vegeta, and to destroy the Legendary Super Saiyan, Broly.",34433,1993-03-06
186,The Fugitive,"Adventure,Action,Thriller,Crime,Mystery",Andrew Davis,"Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore","Wrongfully accused of murdering his wife, Richard Kimble escapes from the law in an attempt to find her killer and clear his name. Pursuing him is a team of U.S. marshals led by Deputy Samuel Gerard, a determined detective who will not rest until Richard is captured. As Richard leads the team through a series of intricate chases, he discovers the secrets behind his wife's death and struggles to expose the killer before it is too late.",5503,1993-08-06
187,Jurassic Park,"Adventure,Science Fiction",Steven Spielberg,"Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough","A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",329,1993-06-11
188,True Romance,"Action,Thriller,Crime,Romance",Tony Scott,"Christian Slater,Patricia Arquette,Michael Rapaport,Bronson Pinchot","Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",319,1993-09-09
189,The Remains of the Day,"Drama,Romance",James Ivory,"Anthony Hopkins,Emma Thompson,James Fox,Christopher Reeve",A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,1245,1993-11-05
190,Addams Family Values,"Comedy,Family,Fantasy",Barry Sonnenfeld,"Raúl Juliá,Anjelica Huston,Christopher Lloyd,Christina Ricci","Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",2758,1993-11-19
191,Demolition Man,"Crime,Action,Science Fiction",Marco Brambilla,"Sylvester Stallone,Wesley Snipes,Sandra Bullock,Nigel Hawthorne","Simon Phoenix, a violent criminal cryogenically frozen in 1996, escapes during a parole hearing in 2032 in the utopia of San Angeles. Police are incapable of dealing with his violent ways and turn to his captor, who had also been cryogenically frozen after being wrongfully accused of killing 30 innocent people while apprehending Phoenix.",9739,1993-10-08
192,Coneheads,"Comedy,Science Fiction,Family",Steve Barron,"Robert Knott,Dan Aykroyd,Jane Curtin,Sinbad","With enormous cone-shaped heads, robotlike walks and an appetite for toilet paper, aliens Beldar and Prymatt don't exactly blend in with the population of Paramus, N.J. But for some reason, everyone believes them when they say they're from France! As the odd ""Saturday Night Live"" characters settle into middle-class life in this feature-length comedy, a neighbor admires their daughter.",9612,1993-07-23
193,The Three Musketeers,"Action,Adventure,Comedy",Stephen Herek,"Charlie Sheen,Kiefer Sutherland,Chris O'Donnell,Oliver Platt","D'Artagnan travels to Paris hoping to become a musketeer, one of the French king's elite bodyguards, only to discover that the corps has been disbanded by conniving Cardinal Richelieu, who secretly hopes to usurp the throne. Fortunately, Athos, Porthos and Aramis have refused to lay down their weapons and continue to protect their king. D'Artagnan joins with the rogues to expose Richelieu's plot against the crown.",10057,1993-11-11
194,This Boy’s Life,Drama,Michael Caton-Jones,"Robert De Niro,Leonardo DiCaprio,Ellen Barkin,Chris Cooper","In 1957, a son and mother flee the East and an abusive boyfriend to find a new life, and end up in Seattle, where the mother meets a polite garage mechanic. The boy continually gets into trouble by hanging out with the wrong crowd. The mom marries the mechanic, but they soon find out that he's an abusive and unreasoning alcoholic, and they struggle to maintain hope in an impossible situation as the boy grows up with plans to escape the small town by any means possible. Based on a true story by Tobias Wolff.",8092,1993-04-09
195,Mrs. Doubtfire,"Comedy,Drama,Family",Chris Columbus,"Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein","Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",788,1993-11-24
196,Carlito's Way,"Crime,Drama,Thriller",Brian De Palma,"Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo","A Puerto-Rican ex-con, just released from prison, pledges to stay away from drugs and violence despite the pressure around him, and lead a better life outside NYC.",6075,1993-11-10
197,The Nightmare Before Christmas,"Fantasy,Animation,Family",Henry Selick,"Chris Sarandon,Danny Elfman,Catherine O'Hara,William Hickey","Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",9479,1993-10-09
198,Menace II Society,"Drama,Action,Crime",Allen Hughes,"Tyrin Turner,Larenz Tate,Glenn Plummer,Jada Pinkett Smith","Sobering and incisive, this cautionary drama centers on a street tough 18-year-old facing a moral quandary while trying to turn his life around.",9516,1993-05-26
199,Super Mario Bros.,"Adventure,Comedy,Family,Fantasy",Rocky Morton,"Bob Hoskins,John Leguizamo,Dennis Hopper,Samantha Mathis","Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.",9607,1993-05-28
200,Sleepless in Seattle,"Comedy,Drama,Romance",Nora Ephron,"Tom Hanks,Meg Ryan,Bill Pullman,Ross Malinger",A young boy who tries to set his dad up on a date after the death of his mother. He calls into a radio station to talk about his dad’s loneliness which soon leads the dad into meeting a Journalist Annie who flies to Seattle to write a story about the boy and his dad. Yet Annie ends up with more than just a story in this popular romantic comedy.,858,1993-06-24
201,The Firm,"Drama,Mystery,Thriller",Sydney Pollack,"Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Holly Hunter","Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan...",37233,1993-06-30
202,A Perfect World,"Crime,Drama,Thriller",Clint Eastwood,"Kevin Costner,Clint Eastwood,Laura Dern,T.J. Lowther","A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",9559,1993-11-24
203,Kalifornia,"Thriller,Crime",Dominic Sena,"Brad Pitt,David Duchovny,Juliette Lewis,Michelle Forbes","A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",10909,1993-09-01
204,Teenage Mutant Ninja Turtles III,"Action,Adventure,Comedy,Family,Fantasy,Science Fiction",Stuart Gillard,"Paige Turco,Stuart Wilson,Sab Shimono,Vivian Wu","The four turtles travel back in time to the days of the legendary and deadly samurai in ancient Japan, where they train to perfect the art of becoming one. The turtles also assist a small village in an uprising.",1499,1993-03-17
205,Hot Shots! Part Deux,"Action,Comedy,War",Jim Abrahams,"Charlie Sheen,Lloyd Bridges,Valeria Golino,Richard Crenna","Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm.",9255,1993-05-21
206,Beethoven's 2nd,"Family,Comedy",Rod Daniel,"Charles Grodin,Bonnie Hunt,Nicholle Tom,Christopher Castile","Beethoven is back -- and this time, he has a whole brood with him now that he's met his canine match, Missy, and fathered a family. The only problem is that Missy's owner, Regina, wants to sell the puppies and tear the clan apart. It's up to Beethoven and the Newton kids to save the day and keep everyone together.",10438,1993-12-14
207,Striking Distance,"Crime,Action,Mystery,Thriller",Rowdy Herrington,"Bruce Willis,Sarah Jessica Parker,Dennis Farina,Tom Sizemore","Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop, and goes on the record with his allegations. Demoted to water-way duty Tom, along with new partner Jo Christman, navigate the three rivers looking for clues and discovering bodies. This time the victims are women Tom knows, he must find the killer to prove his innocence.",11074,1993-09-17
208,Robin Hood: Men in Tights,Comedy,Mel Brooks,"Cary Elwes,Dom DeLuise,Roger Rees,Dave Chappelle","Robin Hood comes home after fighting in the Crusades to learn that the noble King Richard is in exile and that the despotic King John now rules England, with the help of the Sheriff of Rottingham. Robin Hood assembles a band of fellow patriots to do battle with King John and the Sheriff.",8005,1993-07-28
209,Tombstone,Western,George P. Cosmatos,"Kurt Russell,Val Kilmer,Sam Elliott,Bill Paxton","Legendary marshal Wyatt Earp, now a weary gunfighter, joins his brothers Morgan and Virgil to pursue their collective fortune in the thriving mining town of Tombstone. But Earp is forced to don a badge again and get help from his notorious pal Doc Holliday when a gang of renegade brigands and rustlers begins terrorizing the town.",11969,1993-12-25
210,Dave,Comedy,Ivan Reitman,"Kevin Kline,Sigourney Weaver,Frank Langella,Kevin Dunn","Bill Mitchell is the philandering and distant President of the United States. Dave Kovic is a sweet-natured and caring Temp Agency operator, who by a staggering coincidence looks exactly like the President. As such, when Mitchell wants to escape an official luncheon, the Secret Service hires Dave to stand in for him. Unfortunately, Mitchell suffers a severe stroke whilst having sex with one of his aides, and Dave finds himself stuck in the role indefinitely. The corrupt and manipulative Chief of Staff, Bob Alexander, plans to use Dave to elevate himself to the White House - but unfortunately, he doesn't count on Dave enjoying himself in office, using his luck to make the country a better place, and falling in love with the beautiful First Lady...",11566,1993-05-07
211,Sister Act 2: Back in the Habit,"Music,Comedy",Bill Duke,"Whoopi Goldberg,Kathy Najimy,Lauryn Hill,Sheryl Lee Ralph","Deloris Van Cartier is again asked to don the nun's habit to help a run-down Catholic school, presided over by Mother Superior. And if trying to reach out to a class full of uninterested students wasn't bad enough, the sisters discover that the school is due to be closed by the unscrupulous local authority chief Mr. Crisp.",6279,1993-12-09
212,In the Line of Fire,"Action,Drama,Thriller,Crime,Mystery",Wolfgang Petersen,"Clint Eastwood,Rene Russo,John Malkovich,Dylan McDermott","Veteran Secret Service agent Frank Horrigan is a man haunted by his failure to save President Kennedy while serving protection detail in Dallas. Thirty years later, a man calling himself ""Booth"" threatens the life of the current President, forcing Horrigan to come back to protection detail to confront the ghosts from his past.",9386,1993-07-08
213,Sniper,"Action,Drama,Thriller",Luis Llosa,"Tom Berenger,Billy Zane,J.T. Walsh,Aden Young",Tough guy Thomas Beckett is an US soldier working in the Panamanian jungle. His job is to seek out rebels and remove them using his sniper skills. Beckett is notorious for losing his partners on such missions. This time he's accompanied by crack marksman Richard Miller.,9545,1993-01-29
214,Sliver,"Drama,Thriller",Phillip Noyce,"Sharon Stone,William Baldwin,Tom Berenger,Polly Walker",A woman moves into an apartment in Manhattan and learns that the previous tenant's life ended mysteriously after they fell from the balcony.,867,1993-05-21
215,A Bronx Tale,"Drama,Crime",Robert De Niro,"Robert De Niro,Chazz Palminteri,Lillo Brancato,Francis Capra","Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl.",1607,1993-09-14
216,Batman: Mask of the Phantasm,"Action,Adventure,Animation,Family,Thriller",Eric Radomski,"Kevin Conroy,Mark Hamill,Dana Delany,Hart Bochner","An old flame of Bruce Wayne's strolls into town, re-heating up the romance between the two. At the same time, a mass murderer with an axe for one hand begins systematically eliminating Gotham's crime bosses. Due to the person's dark appearance, he is mistaken for Batman. Now on the run, Batman must solve the mystery and deal with the romance between him and Andrea Beaumont.",14919,1993-12-25
217,Dazed and Confused,"Comedy,Drama",Richard Linklater,"Jason London,Rory Cochrane,Wiley Wiggins,Sasha Jenson","The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.",9571,1993-09-24
218,Jason Goes to Hell: The Final Friday,Horror,Adam Marcus,"Kane Hodder,John D. LeMay,Kari Keegan,Steven Williams","Jason Voorhees, the living, breathing essence of evil, is back for one fierce, final fling! Tracked down and blown to bits by a special FBI task force, everyone now assumes that he's finally dead. But everybody assumes wrong. Jason has been reborn with the bone-chilling ability to assume the identity of anyone he touches. The terrifying truth is that he could be anywhere, or anybody. In this shocking, blood-soaked finale to Jason's carnage-ridden reign of terror, the horrible secret of his unstoppable killing instinct is finally revealed.",10285,1993-08-13
219,Indecent Proposal,"Romance,Drama",Adrian Lyne,"Robert Redford,Demi Moore,Woody Harrelson,Seymour Cassel","Robert Redford stars as billionaire John Gage, who offers a down-on-his-luck yuppie husband $1 million for the opportunity to spend the night with the man's wife.",4478,1993-04-07
